ID;Критичность;Область;Заголовок;Описание и влияние;Шаги воспроизведения;Фактический результат;Ожидаемый результат;Как починить;Локализация по коду;Покрывающие кейсы
DEF-01;Критический;Фронтенд · логика формы;"Экран успеха показывается независимо от того, прошла регистрация или нет";"Обработчик отправки не ждёт ответ сервера и не обрабатывает ошибку: вызов сервиса и переход на экран благодарности стоят подряд. Пользователь уверен, что зарегистрирован, а учётной записи не существует. Дефект маскирует все остальные отказы регистрации, поэтому починить его нужно раньше остальных.";"1. Открыть форму регистрации.
2. Заполнить все поля валидными значениями, в оба поля пароля ввести password1.
3. Поставить галочку согласия и нажать S'inscrire.
4. Открыть панель сети и посмотреть ответ на POST /users/create.
5. Выполнить select count(*) from users в базе.";"Сервер вернул 400 Bad Request, в консоли Uncaught (in promise) AxiosError, в таблице users ноль строк. На экране «Thank you for subscription!».";"Пользователь остаётся на форме, видит сообщение об ошибке и может исправить данные.";"Дождаться промис через await, переход на /success выполнять только в ветке успеха, ошибку показывать в форме. То же поведение воспроизводится при полностью остановленном бэкенде: ERR_CONNECTION_REFUSED, экран успеха.";frontend/src/components/screens/auth/Auth.tsx:38-39;TC-FF-001 TC-FF-002 TC-FF-011 TC-E2E-002 TC-E2E-005
DEF-02;Критический;API · безопасность;Поле id в теле запроса перезаписывает существующего пользователя;"Метод save() у TypeORM выполняет upsert: если в переданном объекте есть первичный ключ, вместо вставки происходит обновление найденной строки. Тело запроса ничем не фильтруется, поэтому неаутентифицированный запрос молча заменяет данные любого пользователя. Это потеря данных и подмена учётной записи одной командой.";"1. Создать пользователя обычным запросом и запомнить его id, например 2.
2. Отправить POST /users/create с телом, в которое добавлено поле ""id"": 2 и другие имя, почта, телефон.
3. Прочитать строку с id = 2 в таблице users.";"Ответ 201 Created, при этом строка не создана, а перезаписана: было Jean / a@b.co, стало ATTACKER / attacker@evil.co.";"Поле id из тела запроса игнорируется, создаётся новая строка, существующие данные не меняются.";"Включить глобальный ValidationPipe с whitelist и forbidNonWhitelisted, а вместо save() использовать insert() или собирать сущность явно из разрешённых полей.";backend/src/user/user.service.ts:18;TC-SEC-001
DEF-03;Критический;Данные и БД;Пароль сохраняется в базе открытым текстом;"Пароль записывается в колонку как есть, без хеширования. Любой дамп, резервная копия или доступ к порту базы раскрывает пароли всех пользователей сразу. Люди переиспользуют пароли, поэтому ущерб выходит далеко за пределы этого сервиса.";"1. Зарегистрировать пользователя с паролем Abcdef1!.
2. Выполнить select email, password from users.";В колонке password хранится строка Abcdef1! в исходном виде.;"Хранится необратимый хеш, по которому восстановить пароль невозможно.";"Хешировать пароль через bcrypt или argon2id перед сохранением, колонку переименовать в password_hash, существующие значения считать скомпрометированными.";"backend/src/user/user.service.ts:18
backend/src/user/entity/user.entity.ts:20";TC-SEC-002 TC-E2E-001
DEF-04;Критический;API · безопасность;Пароль печатается в журнал приложения открытым текстом;"Контроллер выводит тело запроса целиком, включая пароль. Журнал контейнера попадает в любую систему сбора логов, где к нему имеет доступ гораздо более широкий круг людей, чем к базе. В связке с DEF-30 это работает в любом окружении, поднятом по инструкции из README.";"1. Убедиться, что переменная DEBUG равна true, как задано по умолчанию.
2. Отправить регистрацию с паролем LogLeak9!.
3. Выполнить docker logs для контейнера бэкенда и найти строку password.";В журнале напечатано тело запроса целиком: password: 'LogLeak9!' рядом с почтой и телефоном.;Пароль не попадает в журнал ни при каких значениях переменных окружения.;Маскировать пароль перед выводом либо логировать только идентификатор запроса и код ответа.;backend/src/user/user.controller.ts:13;TC-SEC-003
DEF-05;Критический;Сквозные сценарии;Требования к паролю на клиенте и на сервере описаны разными правилами;"Два независимых регулярных выражения задают разные требования. Клиент требует букву и цифру, сервер — заглавную, строчную, цифру и спецсимвол. Наборы допустимых спецсимволов тоже не совпадают. В сочетании с DEF-01 это даёт молчаливую потерю регистрации на самом обычном пароле.";"1. Ввести в форму пароль password1 и убедиться, что форма его принимает.
2. Отправить тот же пароль напрямую в POST /users/create.
3. Отправить в API пароль Abcdef1^.
4. Ввести Abcdef1^ в форму.";"password1: форма принимает, API отвечает 400 «ERROR: invalid password». Abcdef1^: API отвечает 201, форма отклоняет.";Одно и то же значение принимается или отклоняется одинаково на обоих слоях.;"Вынести правило в общий модуль и использовать его и в форме, и в DTO сервера; текст сообщения выводить из того же правила.";"frontend/src/shared/regex.ts:4
backend/src/config/regex.config.ts:2";TC-FV-052 TC-FV-054
DEF-06;Критический;Инфраструктура и сборка;Проект не поднимается командой из README;"Версии зависимостей не зафиксированы, поэтому при установке подтягиваются актуальные на сегодня. Две из них требуют Node 20, тогда как в docker-compose зафиксирован Node 18. Установка падает, и приложение не стартует вообще. Для проверяющего это означает, что задание невозможно запустить без правки файлов.";"1. Склонировать репозиторий в чистый каталог.
2. Выполнить docker compose up в корне проекта.
3. Прочитать вывод контейнеров backend и frontend.";"Оба контейнера падают на установке зависимостей: «@nestjs/mapped-types@12.0.0: The engine ""node"" is incompatible with this module. Expected version "">=20.19.0"". Got ""18.20.8""» и такая же ошибка для sass@1.104.0.";"docker compose up поднимает приложение, оно доступно на порту 3000.";"Закоммитить lock-файлы, зафиксировать @nestjs/mapped-types и sass совместимыми версиями либо поднять образ Node до поддерживаемого. Причина описана в DEF-28.";"backend/package.json:26
frontend/package.json:21
.gitignore:2";TC-INF-001
DEF-07;Существенный;Фронтенд · валидация полей;Нажатие Backspace в поле телефона навсегда отключает проверку минимальной длины;"Обработчик нажатия клавиши выставляет минимальную длину в ноль при любом Backspace и никогда не возвращает прежнее значение. Достаточно один раз стереть символ, чтобы форма приняла телефон из одной цифры. Рядом в коде оставлен отладочный вывод console.log('delete').";"1. Открыть форму заново.
2. Ввести в поле Numéro de téléphone две цифры и убедиться, что появилась ошибка «Phone Number must be at least 8 characters».
3. Нажать Backspace один раз.
4. Ввести ещё одну цифру.";"В поле значение 121, ошибка минимальной длины исчезла. Проверка не восстанавливается до перезагрузки страницы.";"Ошибка минимальной длины сохраняется, пока в поле меньше восьми цифр.";"Удалить обработчик onKeyDown и состояние minLength, задать минимальную длину константой. Заодно убрать отладочный вывод.";"frontend/src/components/screens/auth/AuthFields.tsx:20-23
frontend/src/components/screens/auth/AuthFields.tsx:72";TC-FV-033 TC-E2E-003
DEF-08;Существенный;API · контракт и валидация;Отсутствие имени или фамилии в теле запроса приводит к HTTP 500;"Проверка на пустоту перебирает ключи присланного объекта, поэтому поля, которых в теле нет, она не видит. Отдельных проверок для имени и фамилии тоже нет. Запрос доходит до вставки и падает на ограничении NOT NULL, а клиент получает «Internal server error» вместо понятного описания проблемы.";"1. Отправить POST /users/create с валидными фамилией, почтой, телефоном, паролем и согласием, но без ключа first_name.
2. Повторить запрос, убрав вместо этого last_name.";"Оба запроса отвечают 500 с телом {""statusCode"":500,""message"":""Internal server error""}.";"400 с указанием, какое именно поле отсутствует.";"Подключить class-validator и глобальный ValidationPipe, пометить каждое поле DTO как обязательное.";backend/src/user/user.service.ts:34-41;TC-API-002 TC-API-003 TC-API-006 TC-API-015
DEF-09;Существенный;Данные и БД;Адрес почты не уникален — один адрес регистрируется многократно;"В схеме нет уникального индекса, а в сервисе нет проверки на существующего пользователя. Дубликаты делают невозможными вход и восстановление пароля: по адресу нельзя однозначно найти учётную запись.";"1. Отправить регистрацию на адрес dup@example.com.
2. Отправить точно такой же запрос второй раз.
3. Выполнить select id, email from users where email = 'dup@example.com'.";"Оба запроса отвечают 201, в таблице две строки с одинаковым адресом.";Второй запрос отклонён с кодом 409 и сообщением о занятом адресе.;"Объявить колонку как @Column({unique: true}), обработать нарушение ограничения и вернуть 409. Адрес приводить к нижнему регистру перед сохранением.";backend/src/user/entity/user.entity.ts:14;TC-FV-047 TC-DB-001 TC-DB-007 TC-E2E-008
DEF-10;Существенный;Фронтенд · логика формы;Нет защиты от повторной отправки формы;"Кнопка не блокируется на время запроса, состояния отправки нет. Каждый клик создаёт отдельный запрос, а сервер дубликаты не отсекает, потому что уникальности адреса тоже нет. Пользователь, кликнувший дважды из-за задержки, получает две учётные записи.";"1. Очистить таблицу users.
2. Заполнить форму валидными значениями.
3. Быстро нажать кнопку S'inscrire три раза подряд.
4. Выполнить select id, email from users.";"Отправлено три запроса, все ответили 201, в таблице три идентичные строки.";Создана ровно одна запись независимо от числа нажатий.;Блокировать кнопку по formState.isSubmitting на время запроса и добавить уникальный индекс на адрес почты.;frontend/src/components/screens/auth/Auth.tsx:38;TC-FF-003 TC-FF-004 TC-E2E-004
