ID;Severity;Area;Title;Description and impact;Steps to reproduce;Actual result;Expected result;How to fix;Location in the code;Covering cases
DEF-01;Critical;Frontend · form logic;The success screen is shown whether or not the registration succeeded;"The submit handler neither awaits the response nor handles a rejection: the service call and the navigation to the thank-you screen sit one after another. The user believes an account was created when none exists. This defect masks every other registration failure, so it has to be fixed before the rest.";"1. Open the registration form.
2. Fill every field with valid values, entering password1 in both password fields.
3. Tick the consent checkbox and press S'inscrire.
4. Open the network panel and inspect the response to POST /users/create.
5. Run select count(*) from users against the database.";"The server returned 400 Bad Request, the console shows Uncaught (in promise) AxiosError, the users table holds zero rows. The screen reads “Thank you for subscription!”.";"The user stays on the form, sees an error message and can correct the data.";"Await the promise, navigate to /success only on the success branch, surface the error inside the form. The same behaviour reproduces with the backend container fully stopped: ERR_CONNECTION_REFUSED, success screen.";frontend/src/components/screens/auth/Auth.tsx:38-39;TC-FF-001 TC-FF-002 TC-FF-011 TC-E2E-002 TC-E2E-005
DEF-02;Critical;API · security;An id field in the request body overwrites an existing user;"TypeORM's save() performs an upsert: when the incoming object carries a primary key, the row is updated instead of inserted. The body is not filtered at all, so an unauthenticated request silently replaces any user's data. This is data loss and account takeover in a single command.";"1. Create a user with an ordinary request and note its id, for example 2.
2. Send POST /users/create with ""id"": 2 added to the body, plus a different name, email and phone.
3. Read the row with id = 2 from the users table.";"The response is 201 Created, yet no row was created: the existing one was overwritten from Jean / a@b.co to ATTACKER / attacker@evil.co.";"The id field in the body is ignored, a new row is created, existing data is untouched.";"Enable a global ValidationPipe with whitelist and forbidNonWhitelisted, and replace save() with insert() or build the entity explicitly from allowed fields.";backend/src/user/user.service.ts:18;TC-SEC-001
DEF-03;Critical;Data and database;The password is stored in the database in clear text;"The password is written to the column as received, with no hashing. Any dump, backup or access to the database port exposes every user's password at once. People reuse passwords, so the damage reaches well beyond this service.";"1. Register a user with the password Abcdef1!.
2. Run select email, password from users.";The password column holds the literal string Abcdef1!.;"An irreversible hash is stored, from which the password cannot be recovered.";"Hash the password with bcrypt or argon2id before saving, rename the column to password_hash, and treat every existing value as compromised.";"backend/src/user/user.service.ts:18
backend/src/user/entity/user.entity.ts:20";TC-SEC-002 TC-E2E-001
DEF-04;Critical;API · security;The password is written to the application log in clear text;"The controller prints the whole request body, password included. The container log flows into whatever log aggregation is in place, where far more people can read it than can read the database. Together with DEF-30 this applies to every environment started from the README.";"1. Confirm that the DEBUG variable is true, as it is by default.
2. Send a registration with the password LogLeak9!.
3. Run docker logs against the backend container and search for the password line.";The log prints the full request body: password: 'LogLeak9!' next to the email and phone number.;The password never reaches the log under any environment configuration.;"Mask the password before printing, or log only a request id and the response code.";backend/src/user/user.controller.ts:13;TC-SEC-003
DEF-05;Critical;End-to-end scenarios;Client and server describe the password requirements with different rules;"Two independent regular expressions impose different requirements. The client asks for a letter and a digit; the server asks for an uppercase letter, a lowercase letter, a digit and a special character. The two sets of accepted special characters differ as well. Combined with DEF-01 this silently loses a registration on the most ordinary password.";"1. Type the password password1 into the form and confirm the form accepts it.
2. Send the same password directly to POST /users/create.
3. Send the password Abcdef1^ to the API.
4. Type Abcdef1^ into the form.";"password1: the form accepts it, the API answers 400 “ERROR: invalid password”. Abcdef1^: the API answers 201, the form rejects it.";The same value is accepted or rejected identically on both layers.;"Move the rule into a shared module used by both the form and the server DTO, and derive the error message from that same rule.";"frontend/src/shared/regex.ts:4
backend/src/config/regex.config.ts:2";TC-FV-052 TC-FV-054
DEF-06;Critical;Infrastructure and build;The project does not start with the command from the README;"Dependency versions are not pinned, so an install pulls whatever is current today. Two of them require Node 20 while docker-compose pins Node 18. The install fails and the application never starts. For a reviewer this means the assignment cannot be run without editing files first.";"1. Clone the repository into a clean directory.
2. Run docker compose up in the project root.
3. Read the output of the backend and frontend containers.";"Both containers fail during dependency installation: “@nestjs/mapped-types@12.0.0: The engine ""node"" is incompatible with this module. Expected version "">=20.19.0"". Got ""18.20.8""”, and the same error for sass@1.104.0.";docker compose up brings the application up and it is reachable on port 3000.;"Commit the lock files, pin @nestjs/mapped-types and sass to compatible versions, or raise the Node image to a supported one. The root cause is DEF-28.";"backend/package.json:26
frontend/package.json:21
.gitignore:2";TC-INF-001
DEF-07;Major;Frontend · field validation;Pressing Backspace in the phone field permanently disables the minimum-length check;The key handler sets the minimum length to zero on any Backspace and never restores it. Deleting a single character is enough for the form to accept a one-digit phone number. A leftover console.log('delete') sits next to it in the code.;"1. Reload the form.
2. Type two digits into the Numéro de téléphone field and confirm the error “Phone Number must be at least 8 characters” appears.
3. Press Backspace once.
4. Type one more digit.";The field holds 121 and the minimum-length error is gone. The check never comes back until the page is reloaded.;The minimum-length error stays until the field holds at least eight digits.;"Remove the onKeyDown handler and the minLength state, and set the minimum length as a constant. Remove the debug output while you are there.";"frontend/src/components/screens/auth/AuthFields.tsx:20-23
frontend/src/components/screens/auth/AuthFields.tsx:72";TC-FV-033 TC-E2E-003
DEF-08;Major;API · contract and validation;A body without a first or last name produces HTTP 500;"The emptiness check iterates over the keys of the received object, so fields missing from the body are never seen. There are no dedicated checks for the names either. The request reaches the insert and fails on a NOT NULL constraint, and the client gets “Internal server error” instead of a usable description.";"1. Send POST /users/create with a valid last name, email, phone, password and consent, but without the first_name key.
2. Repeat the request, removing last_name instead.";"Both requests answer 500 with the body {""statusCode"":500,""message"":""Internal server error""}.";400 naming the field that is missing.;"Add class-validator and a global ValidationPipe, and mark every DTO field as required.";backend/src/user/user.service.ts:34-41;TC-API-002 TC-API-003 TC-API-006 TC-API-015
DEF-09;Major;Data and database;The email address is not unique — one address registers any number of times;"The schema carries no unique index and the service performs no lookup for an existing user. Duplicates make sign-in and password recovery impossible, because an address no longer identifies a single account.";"1. Send a registration for dup@example.com.
2. Send exactly the same request a second time.
3. Run select id, email from users where email = 'dup@example.com'.";Both requests answer 201 and the table holds two rows with the same address.;The second request is rejected with 409 and a message saying the address is taken.;"Declare the column as @Column({unique: true}), catch the constraint violation and return 409. Lower-case the address before saving.";backend/src/user/entity/user.entity.ts:14;TC-FV-047 TC-DB-001 TC-DB-007 TC-E2E-008
DEF-10;Major;Frontend · form logic;Nothing prevents the form from being submitted twice;"The button is not disabled while the request is in flight and there is no submitting state. Every click issues its own request, and the server does not reject duplicates because the address is not unique either. A user who double-clicks through a slow connection ends up with two accounts.";"1. Empty the users table.
2. Fill the form with valid values.
3. Press the S'inscrire button three times in quick succession.
4. Run select id, email from users.";"Three requests were sent, all answered 201, and the table holds three identical rows.";Exactly one record is created regardless of how many times the button is pressed.;"Disable the button while formState.isSubmitting is true, and add a unique index on the email column.";frontend/src/components/screens/auth/Auth.tsx:38;TC-FF-003 TC-FF-004 TC-E2E-004
